path,namespace,methods
/wc/store/v1/cart/items/(?P<key>[\w-]{32}),wc/store/v1,GET,POST,PUT,PATCH,DELETE
/wc/store/v1/cart/remove-coupon,wc/store/v1,POST
/wc/store/v1/cart/remove-item,wc/store/v1,POST
/wc/store/v1/cart/select-shipping-rate,wc/store/v1,POST
/wc/store/v1/cart/update-item,wc/store/v1,POST
/wc/store/v1/cart/update-customer,wc/store/v1,POST
/wc/store/v1/checkout,wc/store/v1,GET,POST
/wc/store/v1/checkout/(?P<id>[\d]+),wc/store/v1,POST
/wc/store/v1/order/(?P<id>[\d]+),wc/store/v1,GET
/wc/store/v1/products/attributes,wc/store/v1,GET
/wc/store/v1/products/attributes/(?P<id>[\d]+),wc/store/v1,GET
/wc/store/v1/products/attributes/(?P<attribute_id>[\d]+)/terms,wc/store/v1,GET
/wc/store/v1/products/categories,wc/store/v1,GET
/wc/store/v1/products/categories/(?P<id>[\d]+),wc/store/v1,GET
/wc/store/v1/products/collection-data,wc/store/v1,GET
/wc/store/v1/products/reviews,wc/store/v1,GET
/wc/store/v1/products/tags,wc/store/v1,GET
/wc/store/v1/products,wc/store/v1,GET
/wc/store/v1/products/(?P<id>[\d]+),wc/store/v1,GET
/wc/store/v1/products/(?P<slug>[\S]+),wc/store/v1,GET
/wc/private,wc/private,GET
/wc/private/ai/products,wc/private,POST,DELETE
/wc/private/patterns,wc/private,GET,POST
/wc/v2,wc/v2,GET
/wc/v2/products/brands,wc/v2,GET,POST
/wc/v2/products/brands/(?P<id>[\d]+),wc/v2,GET,POST,PUT,PATCH,DELETE
/wc/v2/products/brands/batch,wc/v2,POST,PUT,PATCH
/wc/v3/products/brands,wc/v3,GET,POST
/wc/v3/products/brands/(?P<id>[\d]+),wc/v3,GET,POST,PUT,PATCH,DELETE
/wc/v3/products/brands/batch,wc/v3,POST,PUT,PATCH
/wc/gla,wc/gla,GET
/wc/gla/mc/settings,wc/gla,GET,POST,PUT,PATCH
/wc/gla/mc/connect,wc/gla,GET
/wc/gla/ads/accounts,wc/gla,GET,POST
/wc/gla/ads/connection,wc/gla,GET,DELETE
/wc/gla/ads/billing-status,wc/gla,GET
/wc/gla/ads/account-status,wc/gla,GET
/wc/gla/ads/campaigns,wc/gla,GET,POST
/wc/gla/ads/campaigns/(?P<id>[\d]+),wc/gla,GET,POST,PUT,PATCH,DELETE
/wc/gla/ads/campaigns/asset-groups/(?P<id>[\d]+),wc/gla,POST,PUT,PATCH
/wc/gla/ads/campaigns/asset-groups,wc/gla,GET,POST
/wc/gla/ads/reports/programs,wc/gla,GET
/wc/gla/ads/reports/products,wc/gla,GET
/wc/gla/google/connect,wc/gla,GET,DELETE
/wc/gla/google/connected,wc/gla,GET
/wc/gla/google/reconnected,wc/gla,GET
/wc/gla/jetpack/connect,wc/gla,GET,DELETE
/wc/gla/jetpack/connected,wc/gla,GET
/wc/gla/mc/product-statistics,wc/gla,GET
/wc/gla/mc/product-statistics/refresh,wc/gla,GET
/wc/gla/mc/issues(/(?P<type_filter>[a-z]+))?,wc/gla,GET
/wc/gla/mc/product-feed,wc/gla,GET
/wc/gla/mc/product-visibility,wc/gla,POST,PUT,PATCH
/wc/gla/mc/contact-information,wc/gla,GET,POST
/wc/gla/ads/campaigns/budget-recommendation,wc/gla,GET
/wc/gla/mc/phone-verification/request,wc/gla,POST
/wc/gla/mc/phone-verification/verify,wc/gla,POST
/wc/gla/mc/accounts,wc/gla,GET,POST
/wc/gla/mc/accounts/claim-overwrite,wc/gla,POST
/wc/gla/mc/accounts/switch-url,wc/gla,POST
/wc/gla/mc/connection,wc/gla,GET,DELETE
/wc/gla/mc/setup,wc/gla,GET
/wc/gla/mc/review,wc/gla,GET,POST
/wc/gla/mc/reports/programs,wc/gla,GET
/wc/gla/mc/reports/products,wc/gla,GET
/wc/gla/mc/shipping/rates/batch,wc/gla,POST,DELETE
/wc/gla/mc/shipping/rates,wc/gla,GET,POST
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),wc/gla,GET,POST,PUT,PATCH,DELETE
/wc/gla/mc/shipping/rates/suggestions,wc/gla,GET
/wc/gla/mc/shipping/times/batch,wc/gla,POST,DELETE
/wc/gla/mc/shipping/times,wc/gla,GET,POST
/wc/gla/mc/shipping/times/(?P<country_code>\w{2}),wc/gla,GET,DELETE
/wc/gla/mc/target_audience,wc/gla,GET,POST
/wc/gla/mc/target_audience/suggestions,wc/gla,GET
/wc/gla/mc/countries,wc/gla,GET
/wc/gla/mc/settings/sync,wc/gla,POST
/wc/gla/connections,wc/gla,DELETE
/wc/gla/ads/setup/complete,wc/gla,POST
/wc/gla/assets/suggestions,wc/gla,GET
