route,methods,arg,required,type,enum,default,description,format,pattern
/wc/v2/products/brands,GET,page,False,integer,,1,Current page of the collection.,,
/wc/v2/products/brands,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc/v2/products/brands,GET,search,False,string,,,Limit results to those matching a string.,,
/wc/v2/products/brands,GET,exclude,False,array,,[],Ensure result set excludes specific IDs.,,
/wc/v2/products/brands,GET,include,False,array,,[],Limit result set to specific ids.,,
/wc/v2/products/brands,GET,offset,False,integer,,,Offset the result set by a specific number of items. Applies to hierarchical taxonomies only.,,
/wc/v2/products/brands,GET,order,False,string,"asc,desc",asc,Order sort attribute ascending or descending.,,
/wc/v2/products/brands,GET,orderby,False,string,"id,include,name,slug,term_group,description,count",name,Sort collection by resource attribute.,,
/wc/v2/products/brands,GET,hide_empty,False,boolean,,False,Whether to hide resources not assigned to any products.,,
/wc/v2/products/brands,GET,parent,False,integer,,,Limit result set to resources assigned to a specific parent. Applies to hierarchical taxonomies only.,,
/wc/v2/products/brands,GET,product,False,integer,,,Limit result set to resources assigned to a specific product.,,
/wc/v2/products/brands,GET,slug,False,string,,,Limit result set to resources with a specific slug.,,
/wc/v2/products/brands,POST,name,True,string,,,Name for the resource.,,
/wc/v2/products/brands,POST,slug,False,string,,,An alphanumeric identifier for the resource unique to its type.,,
/wc/v2/products/brands,POST,parent,False,integer,,,The ID for the parent of the resource.,,
/wc/v2/products/brands,POST,description,False,string,,,HTML description of the resource.,,
/wc/v2/products/brands,POST,display,False,string,"default,products,subcategories,both",default,Category archive display type.,,
/wc/v2/products/brands,POST,image,False,object,,,Image data.,,
/wc/v2/products/brands,POST,menu_order,False,integer,,,"Menu order, used to custom sort the resource.",,
/wc/v2/products/brands/(?P<id>[\d]+),GET,id,False,integer,,,Unique identifier for the resource.,,
/wc/v2/products/brands/(?P<id>[\d]+),GET,context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",id,False,integer,,,Unique identifier for the resource.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",name,False,string,,,Category name.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",slug,False,string,,,An alphanumeric identifier for the resource unique to its type.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",parent,False,integer,,,The ID for the parent of the resource.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",description,False,string,,,HTML description of the resource.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",display,False,string,"default,products,subcategories,both",,Category archive display type.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",image,False,object,,,Image data.,,
/wc/v2/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort the resource.",,
/wc/v2/products/brands/(?P<id>[\d]+),DELETE,id,False,integer,,,Unique identifier for the resource.,,
/wc/v2/products/brands/(?P<id>[\d]+),DELETE,force,False,boolean,,False,"Required to be true, as resource does not support trashing.",,
/wc/v2/products/brands/batch,"POST,PUT,PATCH",name,False,string,,,Category name.,,
/wc/v2/products/brands/batch,"POST,PUT,PATCH",slug,False,string,,,An alphanumeric identifier for the resource unique to its type.,,
/wc/v2/products/brands/batch,"POST,PUT,PATCH",parent,False,integer,,,The ID for the parent of the resource.,,
/wc/v2/products/brands/batch,"POST,PUT,PATCH",description,False,string,,,HTML description of the resource.,,
/wc/v2/products/brands/batch,"POST,PUT,PATCH",display,False,string,"default,products,subcategories,both",,Category archive display type.,,
/wc/v2/products/brands/batch,"POST,PUT,PATCH",image,False,object,,,Image data.,,
/wc/v2/products/brands/batch,"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort the resource.",,
/wc/v3/products/brands,GET,context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc/v3/products/brands,GET,page,False,integer,,1,Current page of the collection.,,
/wc/v3/products/brands,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc/v3/products/brands,GET,search,False,string,,,Limit results to those matching a string.,,
/wc/v3/products/brands,GET,exclude,False,array,,[],Ensure result set excludes specific IDs.,,
/wc/v3/products/brands,GET,include,False,array,,[],Limit result set to specific ids.,,
/wc/v3/products/brands,GET,offset,False,integer,,,Offset the result set by a specific number of items. Applies to hierarchical taxonomies only.,,
/wc/v3/products/brands,GET,order,False,string,"asc,desc",asc,Order sort attribute ascending or descending.,,
/wc/v3/products/brands,GET,orderby,False,string,"id,include,name,slug,term_group,description,count",name,Sort collection by resource attribute.,,
/wc/v3/products/brands,GET,hide_empty,False,boolean,,False,Whether to hide resources not assigned to any products.,,
/wc/v3/products/brands,GET,parent,False,integer,,,Limit result set to resources assigned to a specific parent. Applies to hierarchical taxonomies only.,,
/wc/v3/products/brands,GET,product,False,integer,,,Limit result set to resources assigned to a specific product.,,
/wc/v3/products/brands,GET,slug,False,string,,,Limit result set to resources with a specific slug.,,
/wc/v3/products/brands,POST,name,True,string,,,Name for the resource.,,
/wc/v3/products/brands,POST,slug,False,string,,,An alphanumeric identifier for the resource unique to its type.,,
/wc/v3/products/brands,POST,parent,False,integer,,,The ID for the parent of the resource.,,
/wc/v3/products/brands,POST,description,False,string,,,HTML description of the resource.,,
/wc/v3/products/brands,POST,display,False,string,"default,products,subcategories,both",default,Category archive display type.,,
/wc/v3/products/brands,POST,image,False,object,,,Image data.,,
/wc/v3/products/brands,POST,menu_order,False,integer,,,"Menu order, used to custom sort the resource.",,
/wc/v3/products/brands/(?P<id>[\d]+),GET,id,False,integer,,,Unique identifier for the resource.,,
/wc/v3/products/brands/(?P<id>[\d]+),GET,context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",id,False,integer,,,Unique identifier for the resource.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",name,False,string,,,Category name.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",slug,False,string,,,An alphanumeric identifier for the resource unique to its type.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",parent,False,integer,,,The ID for the parent of the resource.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",description,False,string,,,HTML description of the resource.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",display,False,string,"default,products,subcategories,both",,Category archive display type.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",image,False,object,,,Image data.,,
/wc/v3/products/brands/(?P<id>[\d]+),"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort the resource.",,
/wc/v3/products/brands/(?P<id>[\d]+),DELETE,id,False,integer,,,Unique identifier for the resource.,,
/wc/v3/products/brands/(?P<id>[\d]+),DELETE,force,False,boolean,,False,"Required to be true, as resource does not support trashing.",,
/wc/v3/products/brands/batch,"POST,PUT,PATCH",name,False,string,,,Category name.,,
/wc/v3/products/brands/batch,"POST,PUT,PATCH",slug,False,string,,,An alphanumeric identifier for the resource unique to its type.,,
/wc/v3/products/brands/batch,"POST,PUT,PATCH",parent,False,integer,,,The ID for the parent of the resource.,,
/wc/v3/products/brands/batch,"POST,PUT,PATCH",description,False,string,,,HTML description of the resource.,,
/wc/v3/products/brands/batch,"POST,PUT,PATCH",display,False,string,"default,products,subcategories,both",,Category archive display type.,,
/wc/v3/products/brands/batch,"POST,PUT,PATCH",image,False,object,,,Image data.,,
/wc/v3/products/brands/batch,"POST,PUT,PATCH",menu_order,False,integer,,,"Menu order, used to custom sort the resource.",,
/wc/gla,GET,namespace,False,,,wc/gla,,,
/wc/gla,GET,context,False,,,view,,,
/wc/gla/ads/accounts,POST,id,False,number,,,Google Ads Account ID.,,
/wc/gla/ads/accounts,POST,billing_url,False,string,,,Billing Flow URL.,,
/wc/gla/ads/campaigns,GET,exclude_removed,False,boolean,,True,Exclude removed campaigns.,,
/wc/gla/ads/campaigns,GET,per_page,False,integer,,,Maximum number of rows to be returned in result data.,,
/wc/gla/ads/campaigns,POST,id,False,integer,,,ID number.,,
/wc/gla/ads/campaigns,POST,name,False,string,,,Descriptive campaign name.,,
/wc/gla/ads/campaigns,POST,status,False,string,"enabled,paused,removed",,Campaign status.,,
/wc/gla/ads/campaigns,POST,type,False,string,"unspecified,unknown,search,display,shopping,hotel,video,multi_channel,local,smart,performance_max",,Campaign type.,,
/wc/gla/ads/campaigns,POST,amount,True,number,,,Daily budget amount in the local currency.,,
/wc/gla/ads/campaigns,POST,country,False,string,,,Country code of sale country in ISO 3166-1 alpha-2 format.,,
/wc/gla/ads/campaigns,POST,targeted_locations,True,array,,,The locations that an Ads campaign is targeting in ISO 3166-1 alpha-2 format.,,
/wc/gla/ads/campaigns,POST,label,False,string,,,The name of the label to assign to the campaign.,,
/wc/gla/ads/campaigns/(?P<id>[\d]+),"POST,PUT,PATCH",name,False,string,,,Descriptive campaign name.,,
/wc/gla/ads/campaigns/(?P<id>[\d]+),"POST,PUT,PATCH",status,False,string,"enabled,paused,removed",,Campaign status.,,
/wc/gla/ads/campaigns/(?P<id>[\d]+),"POST,PUT,PATCH",amount,False,number,,,Daily budget amount in the local currency.,,
/wc/gla/ads/campaigns/asset-groups/(?P<id>[\d]+),"POST,PUT,PATCH",id,True,integer,,,Asset Group ID.,,
/wc/gla/ads/campaigns/asset-groups/(?P<id>[\d]+),"POST,PUT,PATCH",assets,False,array,,[],List of asset to be edited.,,
/wc/gla/ads/campaigns/asset-groups/(?P<id>[\d]+),"POST,PUT,PATCH",final_url,False,string,,,Final URL.,,
/wc/gla/ads/campaigns/asset-groups/(?P<id>[\d]+),"POST,PUT,PATCH",path1,False,string,,,Asset Group path 1.,,
/wc/gla/ads/campaigns/asset-groups/(?P<id>[\d]+),"POST,PUT,PATCH",path2,False,string,,,Asset Group path 2.,,
/wc/gla/ads/campaigns/asset-groups,GET,campaign_id,True,integer,,,Campaign ID.,,
/wc/gla/ads/campaigns/asset-groups,POST,campaign_id,True,integer,,,Campaign ID.,,
/wc/gla/ads/reports/programs,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/ads/reports/programs,GET,after,False,string,,-7 days,Limit response to data after a given ISO8601 compliant date.,date,
/wc/gla/ads/reports/programs,GET,before,False,string,,now,Limit response to data before a given ISO8601 compliant date.,date,
/wc/gla/ads/reports/programs,GET,ids,False,array,,,Limit result to items with specified ids.,,
/wc/gla/ads/reports/programs,GET,fields,False,array,,,Limit totals to a set of fields.,,
/wc/gla/ads/reports/programs,GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc/gla/ads/reports/programs,GET,orderby,False,string,,,Sort collection by attribute.,,
/wc/gla/ads/reports/programs,GET,per_page,False,integer,,200,Maximum number of rows to be returned in result data.,,
/wc/gla/ads/reports/programs,GET,next_page,False,string,,,Token to retrieve the next page.,,
/wc/gla/ads/reports/programs,GET,interval,False,string,"day,week,month,quarter,year",,Time interval to use for segments in the returned data.,,
/wc/gla/ads/reports/products,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/ads/reports/products,GET,after,False,string,,-7 days,Limit response to data after a given ISO8601 compliant date.,date,
/wc/gla/ads/reports/products,GET,before,False,string,,now,Limit response to data before a given ISO8601 compliant date.,date,
/wc/gla/ads/reports/products,GET,ids,False,array,,,Limit result to items with specified ids.,,
/wc/gla/ads/reports/products,GET,fields,False,array,,,Limit totals to a set of fields.,,
/wc/gla/ads/reports/products,GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc/gla/ads/reports/products,GET,orderby,False,string,,,Sort collection by attribute.,,
/wc/gla/ads/reports/products,GET,per_page,False,integer,,200,Maximum number of rows to be returned in result data.,,
/wc/gla/ads/reports/products,GET,next_page,False,string,,,Token to retrieve the next page.,,
/wc/gla/ads/reports/products,GET,interval,False,string,"day,week,month,quarter,year",,Time interval to use for segments in the returned data.,,
/wc/gla/google/connect,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/google/connect,GET,next_page_name,False,string,"setup-mc,setup-ads,reconnect",setup-mc,Indicates the next page name mapped to the redirect URL when back from Google authorization.,,
/wc/gla/google/connect,GET,login_hint,False,string,,,Indicate the Google account to suggest for authorization.,,
/wc/gla/jetpack/connect,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/jetpack/connect,GET,next_page_name,False,string,"setup-mc,reconnect",setup-mc,Indicates the next page name mapped to the redirect URL when back from Jetpack authorization.,,
/wc/gla/mc/issues(/(?P<type_filter>[a-z]+))?,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/mc/issues(/(?P<type_filter>[a-z]+))?,GET,page,False,integer,,1,Page of data to retrieve.,,
/wc/gla/mc/issues(/(?P<type_filter>[a-z]+))?,GET,per_page,False,integer,,0,Maximum number of rows to be returned in result data.,,
/wc/gla/mc/product-visibility,"POST,PUT,PATCH",context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/mc/product-visibility,"POST,PUT,PATCH",ids,False,array,,,IDs of the products to update.,,
/wc/gla/mc/product-visibility,"POST,PUT,PATCH",visible,False,boolean,,,New Visibility status for the specified products.,,
/wc/gla/mc/contact-information,POST,context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/ads/campaigns/budget-recommendation,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/ads/campaigns/budget-recommendation,GET,country_codes,True,array,,,,,
/wc/gla/mc/phone-verification/request,POST,phone_region_code,True,string,,,Two-letter country code (ISO 3166-1 alpha-2) for the phone number.,,
/wc/gla/mc/phone-verification/request,POST,phone_number,True,string,,,The phone number to verify.,,
/wc/gla/mc/phone-verification/request,POST,verification_method,True,string,"SMS,PHONE_CALL",,Method used to verify the phone number.,,
/wc/gla/mc/phone-verification/verify,POST,verification_id,True,string,,,The verification ID returned by the /request call.,,
/wc/gla/mc/phone-verification/verify,POST,verification_code,True,string,,,The verification code that was sent to the phone number for validation.,,
/wc/gla/mc/phone-verification/verify,POST,verification_method,True,string,"SMS,PHONE_CALL",,Method used to verify the phone number.,,
/wc/gla/mc/accounts,POST,id,False,number,,,Merchant Center Account ID.,,
/wc/gla/mc/accounts,POST,subaccount,False,boolean,,,Is a MCA sub account.,,
/wc/gla/mc/accounts,POST,name,False,string,,,The Merchant Center Account name.,,
/wc/gla/mc/accounts,POST,domain,False,string,,,The domain registered with the Merchant Center Account.,,
/wc/gla/mc/accounts/claim-overwrite,POST,id,False,number,,,Merchant Center Account ID.,,
/wc/gla/mc/accounts/claim-overwrite,POST,subaccount,False,boolean,,,Is a MCA sub account.,,
/wc/gla/mc/accounts/claim-overwrite,POST,name,False,string,,,The Merchant Center Account name.,,
/wc/gla/mc/accounts/claim-overwrite,POST,domain,False,string,,,The domain registered with the Merchant Center Account.,,
/wc/gla/mc/accounts/switch-url,POST,id,False,number,,,Merchant Center Account ID.,,
/wc/gla/mc/accounts/switch-url,POST,subaccount,False,boolean,,,Is a MCA sub account.,,
/wc/gla/mc/accounts/switch-url,POST,name,False,string,,,The Merchant Center Account name.,,
/wc/gla/mc/accounts/switch-url,POST,domain,False,string,,,The domain registered with the Merchant Center Account.,,
/wc/gla/mc/reports/programs,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/mc/reports/programs,GET,after,False,string,,-7 days,Limit response to data after a given ISO8601 compliant date.,date,
/wc/gla/mc/reports/programs,GET,before,False,string,,now,Limit response to data before a given ISO8601 compliant date.,date,
/wc/gla/mc/reports/programs,GET,ids,False,array,,,Limit result to items with specified ids.,,
/wc/gla/mc/reports/programs,GET,fields,False,array,,,Limit totals to a set of fields.,,
/wc/gla/mc/reports/programs,GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc/gla/mc/reports/programs,GET,orderby,False,string,,,Sort collection by attribute.,,
/wc/gla/mc/reports/programs,GET,per_page,False,integer,,200,Maximum number of rows to be returned in result data.,,
/wc/gla/mc/reports/programs,GET,next_page,False,string,,,Token to retrieve the next page.,,
/wc/gla/mc/reports/programs,GET,interval,False,string,day,,Time interval to use for segments in the returned data.,,
/wc/gla/mc/reports/products,GET,context,False,string,view,view,Scope under which the request is made; determines fields present in response.,,
/wc/gla/mc/reports/products,GET,after,False,string,,-7 days,Limit response to data after a given ISO8601 compliant date.,date,
/wc/gla/mc/reports/products,GET,before,False,string,,now,Limit response to data before a given ISO8601 compliant date.,date,
/wc/gla/mc/reports/products,GET,ids,False,array,,,Limit result to items with specified ids.,,
/wc/gla/mc/reports/products,GET,fields,False,array,,,Limit totals to a set of fields.,,
/wc/gla/mc/reports/products,GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc/gla/mc/reports/products,GET,orderby,False,string,,,Sort collection by attribute.,,
/wc/gla/mc/reports/products,GET,per_page,False,integer,,200,Maximum number of rows to be returned in result data.,,
/wc/gla/mc/reports/products,GET,next_page,False,string,,,Token to retrieve the next page.,,
/wc/gla/mc/reports/products,GET,interval,False,string,day,,Time interval to use for segments in the returned data.,,
/wc/gla/mc/shipping/rates/batch,POST,rates,False,array,,,Array of shipping rates to create.,,
/wc/gla/mc/shipping/rates/batch,DELETE,ids,True,array,,,Array of unique shipping rate identification numbers.,,
/wc/gla/mc/shipping/rates,POST,id,False,number,,,The shipping rate unique identification number.,,
/wc/gla/mc/shipping/rates,POST,country,True,string,,,Country code in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/shipping/rates,POST,currency,False,string,,USD,The currency to use for the shipping rate.,,
/wc/gla/mc/shipping/rates,POST,rate,True,number,,,The shipping rate.,,
/wc/gla/mc/shipping/rates,POST,options,False,object,,[],Array of options for the shipping method.,,
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),GET,id,False,number,,,The shipping rate unique identification number.,,
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),"POST,PUT,PATCH",id,False,number,,,The shipping rate unique identification number.,,
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),"POST,PUT,PATCH",country,True,string,,,Country code in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),"POST,PUT,PATCH",currency,False,string,,USD,The currency to use for the shipping rate.,,
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),"POST,PUT,PATCH",rate,True,number,,,The shipping rate.,,
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),"POST,PUT,PATCH",options,False,object,,[],Array of options for the shipping method.,,
/wc/gla/mc/shipping/rates/(?P<id>[\d]+),DELETE,id,False,number,,,The shipping rate unique identification number.,,
/wc/gla/mc/shipping/rates/suggestions,GET,country_codes,True,array,,,Array of country codes in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/shipping/times/batch,POST,time,False,integer,,,The minimum shipping time in days.,,
/wc/gla/mc/shipping/times/batch,POST,max_time,False,integer,,,The maximum shipping time in days.,,
/wc/gla/mc/shipping/times/batch,POST,country_codes,True,array,,,Array of country codes in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/shipping/times/batch,DELETE,time,False,integer,,,The minimum shipping time in days.,,
/wc/gla/mc/shipping/times/batch,DELETE,max_time,False,integer,,,The maximum shipping time in days.,,
/wc/gla/mc/shipping/times/batch,DELETE,country_codes,True,array,,,Array of country codes in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/shipping/times,POST,country_code,True,string,,,Country code in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/shipping/times,POST,time,True,integer,,,The minimum shipping time in days.,,
/wc/gla/mc/shipping/times,POST,max_time,True,integer,,,The maximum shipping time in days.,,
/wc/gla/mc/shipping/times/(?P<country_code>\w{2}),GET,country_code,True,string,,,Country code in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/shipping/times/(?P<country_code>\w{2}),GET,time,False,integer,,,The minimum shipping time in days.,,
/wc/gla/mc/shipping/times/(?P<country_code>\w{2}),GET,max_time,False,integer,,,The maximum shipping time in days.,,
/wc/gla/mc/target_audience,POST,location,True,string,"all,selected",,Location where products will be shown.,,
/wc/gla/mc/target_audience,POST,countries,False,array,,,Array of country codes in ISO 3166-1 alpha-2 format.,,
/wc/gla/mc/countries,GET,continents,False,boolean,,,Include continents data if set to true.,,
/wc/gla/assets/suggestions,GET,id,True,number,,,Post ID or Term ID.,,
/wc/gla/assets/suggestions,GET,type,True,string,"post,term,homepage",,Type linked to the id.,,
/wc/gla/assets/final-url/suggestions,GET,search,False,string,,,Search for post title or term name,,
/wc/gla/assets/final-url/suggestions,GET,per_page,False,number,,30,The number of items to be return,,
/wc/gla/assets/final-url/suggestions,GET,order_by,False,string,"type,title,url",title,Sort retrieved items by parameter,,
/wc/gla/mc/mapping/sources,GET,attribute,True,string,,,The attribute key to get the sources.,,
/wc/gla/mc/mapping/rules,GET,context,False,string,,,Scope under which the request is made; determines fields present in response.,,
/wc/gla/mc/mapping/rules,GET,page,False,integer,,1,Current page of the collection.,,
/wc/gla/mc/mapping/rules,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc/gla/mc/mapping/rules,GET,search,False,string,,,Limit results to those matching a string.,,
/wc/gla/mc/mapping/rules,POST,id,False,integer,,,The Id for the rule.,,
/wc/gla/mc/mapping/rules,POST,attribute,True,string,"adult,ageGroup,brand,color,condition,gender,gtin,isBundle,material,mpn,multipack,pattern,size,sizeSystem,sizeType",,The attribute value for the rule.,,
/wc/gla/mc/mapping/rules,POST,source,True,string,,,The source value for the rule.,,
/wc/gla/mc/mapping/rules,POST,category_condition_type,True,string,"ALL,EXCEPT,ONLY",,The category condition type to apply for this rule.,,
/wc/gla/mc/mapping/rules,POST,categories,False,string,,,"List of category IDs, separated by commas.",,
/wc/gla/mc/mapping/rules/(?P<id>[\d]+),"POST,PUT,PATCH",id,False,integer,,,The Id for the rule.,,
/wc/gla/mc/mapping/rules/(?P<id>[\d]+),"POST,PUT,PATCH",attribute,True,string,"adult,ageGroup,brand,color,condition,gender,gtin,isBundle,material,mpn,multipack,pattern,size,sizeSystem,sizeType",,The attribute value for the rule.,,
/wc/gla/mc/mapping/rules/(?P<id>[\d]+),"POST,PUT,PATCH",source,True,string,,,The source value for the rule.,,
/wc/gla/mc/mapping/rules/(?P<id>[\d]+),"POST,PUT,PATCH",category_condition_type,True,string,"ALL,EXCEPT,ONLY",,The category condition type to apply for this rule.,,
/wc/gla/mc/mapping/rules/(?P<id>[\d]+),"POST,PUT,PATCH",categories,False,string,,,"List of category IDs, separated by commas.",,
/wc/gla/tours,POST,id,True,string,,,The Id for the tour.,,^[a-zA-z0-9-_]+$
/wc/gla/tours,POST,checked,True,boolean,,,Whether the tour was checked.,,
/wc/gla/rest-api/authorize,GET,next_page_name,False,string,"setup-mc,settings",setup-mc,Indicates the next page name mapped to the redirect URL when redirected back from Google WPCOM App authorization.,,
/wc/gla/rest-api/authorize,"POST,PUT,PATCH",status,True,string,"approved,disapproved,error",,The status of the merchant granting access to Google's WPCOM app,,
/wc/gla/rest-api/authorize,"POST,PUT,PATCH",nonce,True,string,,,The nonce provided by Google in the URL query parameter when Google redirects back to merchant's site,,
/google-site-kit/v1,GET,namespace,False,,,google-site-kit/v1,,,
/google-site-kit/v1,GET,context,False,,,view,,,
/google-site-kit/v1/core/user/data/user-input-settings,POST,data,True,object,,,,,
/google-site-kit/v1/core/modules/data/activation,"POST,PUT,PATCH",data,True,object,,,,,
/google-site-kit/v1/core/modules/data/info,GET,slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/core/modules/data/check-access,"POST,PUT,PATCH",slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/notifications,GET,slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/settings,GET,slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/settings,"POST,PUT,PATCH",slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/settings,"POST,PUT,PATCH",data,False,object,,,Settings to set.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/data-available,POST,slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/(?P<datapoint>[a-z\-]+),GET,slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/(?P<datapoint>[a-z\-]+),GET,datapoint,False,string,,,Module data point to address.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/(?P<datapoint>[a-z\-]+),"POST,PUT,PATCH",slug,False,string,,,Identifier for the module.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/(?P<datapoint>[a-z\-]+),"POST,PUT,PATCH",datapoint,False,string,,,Module data point to address.,,
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/(?P<datapoint>[a-z\-]+),"POST,PUT,PATCH",data,False,object,,,Data to set.,,
/google-site-kit/v1/core/modules/data/sharing-settings,"POST,PUT,PATCH",data,True,object,,,,,
/google-site-kit/v1/core/user/data/dismiss-item,POST,data,True,object,,,,,
/google-site-kit/v1/core/user/data/survey-trigger,POST,data,True,object,,,,,
/google-site-kit/v1/core/user/data/survey-event,POST,data,True,object,,,,,
/google-site-kit/v1/core/user/data/survey-timeout,POST,data,True,object,,,,,
/google-site-kit/v1/core/user/data/tracking,POST,data,True,object,,,,,
/google-site-kit/v1/core/search/data/entity-search,GET,query,True,string,,,Text content to search for.,,
/google-site-kit/v1/core/site/data/admin-bar-settings,POST,data,True,object,,,,,
/google-site-kit/v1/core/site/data/mark-notification,"POST,PUT,PATCH",data,True,object,,,,,
/google-site-kit/v1/core/user/data/dismiss-tour,POST,data,True,object,,,,,
/google-site-kit/v1/core/user/data/key-metrics,POST,data,True,object,,,,,
/google-site-kit/v1/core/user/data/dismiss-prompt,POST,data,True,object,,,,,
/google-site-kit/v1/core/site/data/consent-mode,"POST,PUT,PATCH",data,True,object,,,,,
/arforwp/v2,GET,namespace,False,,,arforwp/v2,,,
/arforwp/v2,GET,context,False,,,view,,,
/wc/v1,GET,namespace,False,,,wc/v1,,,
/wc/v1,GET,context,False,,,view,,,
/wc/v1/coupons,GET,context,False,string,"view,edit",view,Scope under which the request is made; determines fields present in response.,,
/wc/v1/coupons,GET,page,False,integer,,1,Current page of the collection.,,
/wc/v1/coupons,GET,per_page,False,integer,,10,Maximum number of items to be returned in result set.,,
/wc/v1/coupons,GET,search,False,string,,,Limit results to those matching a string.,,
/wc/v1/coupons,GET,after,False,string,,,Limit response to resources published after a given ISO8601 compliant date.,date-time,
/wc/v1/coupons,GET,before,False,string,,,Limit response to resources published before a given ISO8601 compliant date.,date-time,
/wc/v1/coupons,GET,exclude,False,array,,[],Ensure result set excludes specific IDs.,,
/wc/v1/coupons,GET,include,False,array,,[],Limit result set to specific ids.,,
/wc/v1/coupons,GET,offset,False,integer,,,Offset the result set by a specific number of items.,,
/wc/v1/coupons,GET,order,False,string,"asc,desc",desc,Order sort attribute ascending or descending.,,
/wc/v1/coupons,GET,orderby,False,string,"date,id,include,title,slug,modified",date,Sort collection by object attribute.,,
/wc/v1/coupons,GET,filter,False,object,,,Use WP Query arguments to modify the response; private query vars require appropriate authorization.,,
/wc/v1/coupons,GET,code,False,string,,,Limit result set to resources with a specific code.,,
/wc/v1/coupons,POST,code,True,string,,,Coupon code.,,
